﻿Dato,Wind,Temp,Sun,MWh,Flow
28-12-2020 00:00,2.92,2.13,0,401836,11727.59
29-12-2020 00:00,1.58,1.33,0,398249,11649.98
30-12-2020 00:00,1.5,2.71,0,388156,11430.5
31-12-2020 00:00,1.5,1.42,15,393859,11980.38
01-01-2021 00:00,0.67,0.21,34,403789,11811.96
02-01-2021 00:00,1,-0.92,14,432945,12705.21
03-01-2021 00:00,3.92,0.54,10,440531,12962.49
04-01-2021 00:00,4.5,0,0,468659,13832.28
05-01-2021 00:00,3.88,0.33,1,460847,13704.74
06-01-2021 00:00,3.79,0,0,465996,13704.74
07-01-2021 00:00,2.75,0,0,452695,13735.03
08-01-2021 00:00,2.75,0,52,453398,13663.93
09-01-2021 00:00,1.33,0.17,20,440507,13275.25
10-01-2021 00:00,2.67,1.04,4,428448,12901.95
11-01-2021 00:00,6.29,4.42,2,409233,12337.46
12-01-2021 00:00,3.71,0.71,124,421470,12954.31
13-01-2021 00:00,6.21,0.58,105,445509,13496.36
14-01-2021 00:00,3.5,-0.63,0,483337,14562.21
15-01-2021 00:00,1.5,-1.83,0,489410,14481.36
16-01-2021 00:00,1.58,-1.96,55,474999,14038.26
17-01-2021 00:00,2.17,-0.54,67,465753,13809.78
18-01-2021 00:00,2.5,1,5,456393,13512.49
19-01-2021 00:00,2.17,2.88,14,418965,12347.28
20-01-2021 00:00,7,5.88,0,388975,11447.72
21-01-2021 00:00,8.75,5.46,74,385985,11394.63
22-01-2021 00:00,6.63,4,125,398674,11815.22
23-01-2021 00:00,2.79,1.71,20,407771,12053.47
24-01-2021 00:00,0.79,0.63,111,399478,11888.76
25-01-2021 00:00,0.83,-0.92,171,449366,13342.12
26-01-2021 00:00,1.25,-0.67,377,448094,13422.31
27-01-2021 00:00,2.46,0.83,1,437059,12947.89
28-01-2021 00:00,1.04,-2.08,226,461018,13510.09
29-01-2021 00:00,3.46,-1.58,18,480490,13920.59
30-01-2021 00:00,1.88,-2.21,333,456235,13107.48
31-01-2021 00:00,1.79,-1.04,274,434767,12483.27
01-02-2021 00:00,1.46,-2.92,300,461461,13272.61
02-02-2021 00:00,1,-3.67,41,506511,14115.11
03-02-2021 00:00,6.25,-1.17,1,503240,13767.01
04-02-2021 00:00,4.88,-3.13,208,519814,14270.98
05-02-2021 00:00,6.54,-3.04,132,545264,14866.22
06-02-2021 00:00,6.54,-4.04,403,535458,14783.49
07-02-2021 00:00,8.17,-3,39,557120,15306.01
08-02-2021 00:00,7.38,-2.88,95,563316,15494.21
09-02-2021 00:00,4.96,-4.04,49,564630,15488.76
10-02-2021 00:00,2.92,-6.04,375,552160,15003.56
11-02-2021 00:00,3.25,-7.17,399,573142,15482.96
12-02-2021 00:00,1.29,-9,483,580225,15868.94
13-02-2021 00:00,0.08,-8.67,471,554439,15014.3
14-02-2021 00:00,2.25,-5.67,476,545352,14741.57
15-02-2021 00:00,3.96,-0.96,15,525414,13999.95
16-02-2021 00:00,2.96,0.08,0,486559,12999.39
